BOM(Bill Of Material),Link,cost,Total cost,Aditional note
,,,,
Dc motor x4,https://robocraze.com/products/2000rpm-3v-toy-motor,₹ 25 per piece, ₹ 100,
Resistor(1k) x1,https://robu.in/product/mf0207fre52-1k-yageo-through-hole-resistor-1-kohm-mf0-series-600-mw-%c2%b1-1-axial-leaded-350-v/,₹ 2.5 per piece,₹ 2.5,
Switch x1,https://www.amazon.in/UNIVERSAL-HUB-Electronic-Projects-Experiments/dp/B0BZN36SQK/ref=sr_1_8?sr=8-8,₹ 62 (pack of 5),₹ 62,couldn't find pack of 1
wire(50cm)x1,https://robocraze.com/products/hook-up-wire-red-1-meter?_pos=2&_sid=637172eea&_ss=r,₹ 37 (5 meters),₹ 37,couldn't find pack 50 cm 
battery AAA(1.5v)x2,https://www.amazon.in/Eveready-Anti-Leak-Certified-Suitable-Regular-Drain/dp/B0FCZG9XLM/ref=sr_1_6?sr=8-6,"₹ 170,(pack of 10)",₹ 170,couldn't find pack of 2
Fillament (estimate 80 grams),,estimate ₹50,₹50,
,,,,
,,Total estimate: ₹422,,
